MATCH_NUMBER,MATCH_DAY,DATE,DAY,TIME,HOME,AWAY,STADIUM
40,34,2024-04-24,Wed,7:30PM,Delhi Capitals,Gujarat Titans,Delhi
41,35,2024-04-25,Thu,7:30PM,Sunrisers Hyderabad,Royal Challengers Bengaluru,Hyderabad
42,36,2024-04-26,Fri,7:30PM,Kolkata Knight Riders,Punjab Kings,Kolkata
43,37,2024-04-27,Sat,3:30PM,Delhi Capitals,Mumbai Indians,Delhi
44,37,2024-04-27,Sat,7:30PM,Lucknow Super Giants,Rajasthan Royals,Lucknow
45,38,2024-04-28,Sun,3:30PM,Gujarat Titans,Royal Challengers Bengaluru,Ahmedabad
46,38,2024-04-28,Sun,7:30PM,Chennai Super Kings,Sunrisers Hyderabad,Chennai
47,39,2024-04-29,Mon,7:30PM,Kolkata Knight Riders,Delhi Capitals,Kolkata
48,40,2024-04-30,Tue,7:30PM,Lucknow Super Giants,Mumbai Indians,Lucknow
49,41,2024-05-01,Wed,7:30PM,Chennai Super Kings,Punjab Kings,Chennai
50,42,2024-05-02,Thu,7:30PM,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad
51,43,2024-05-03,Fri,7:30PM,Mumbai Indians,Kolkata Knight Riders,Mumbai
52,44,2024-05-04,Sat,7:30PM,Royal Challengers Bengaluru,Gujarat Titans,Bengaluru
53,45,2024-05-05,Sun,3:30PM,Punjab Kings,Chennai Super Kings,Dharamshala
54,45,2024-05-05,Sun,7:30PM,Lucknow Super Giants,Kolkata Knight Riders,Lucknow
55,46,2024-05-06,Mon,7:30PM,Mumbai Indians,Sunrisers Hyderabad,Mumbai
56,47,2024-05-07,Tue,7:30PM,Delhi Capitals,Rajasthan Royals,Delhi
57,48,2024-05-08,Wed,7:30PM,Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad
58,49,2024-05-09,Thu,7:30PM,Punjab Kings,Royal Challengers Bengaluru,Dharamshala
59,50,2024-05-10,Fri,7:30PM,Gujarat Titans,Chennai Super Kings,Ahmedabad
60,51,2024-05-11,Sat,7:30PM,Kolkata Knight Riders,Mumbai Indians,Kolkata
61,52,2024-05-12,Sun,3:30PM,Chennai Super Kings,Rajasthan Royals,Chennai
62,52,2024-05-12,Sun,7:30PM,Royal Challengers Bengaluru,Delhi Capitals,Bengaluru
63,53,2024-05-13,Mon,7:30PM,Gujarat Titans,Kolkata Knight Riders,Ahmedabad
64,54,2024-05-14,Tue,7:30PM,Delhi Capitals,Lucknow Super Giants,Delhi
65,55,2024-05-15,Wed,7:30PM,Rajasthan Royals,Punjab Kings,Guwahai
66,56,2024-05-16,Thu,7:30PM,Sunrisers Hyderabad,Gujarat Titans,Hyderabad
67,57,2024-05-17,Fri,7:30PM,Mumbai Indians,Lucknow Super Giants,Mumbai
68,58,2024-05-18,Sat,7:30PM,Royal Challengers Bengaluru,Chennai Super Kings,Bengaluru
69,59,2024-05-19,Sun,3:30PM,Sunrisers Hyderabad,Punjab Kings,Hyderabad
70,59,2024-05-19,Sun,7:30PM,Rajasthan Royals,Kolkata Knight Riders,Guwaha
